"cell_type","color"
"doublets","#000000"
"MPP","#838B8B"
"monP1","#6E8B3D"
"GMP","#B4EEB4"
"CMP","#006400"
"masBasP","#7A378B"
"Ery","#FF0000"
"MEP","#DDA0DD"
"neutP1","#BCEE68"
"LMPP","#36648B"
"pro-B","#5CACEE"
"plasma","#0000FF"
"MDP1","#00FFFF"
"CD8","#FFA500"
"NK","#8B4513"
"MK","#FFC0CB"
"T","#FFFF00"
"B","#ADD8E6"
"HSC","#FFD700"
