"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M0.32","plasma","IGKC",13.4645150180462,"MZB1",7.95375896334971,"#0000FF"
"M1.94","masBasP","TPSAB1",10.0790335314574,"TPSB2",9.7801054756975,"#7A378B"
"M2.74","MEP","RP11-620J15.3",5.75264447852685,"PRSS57",5.70826330118796,"#DDA0DD"
"M3.45","masBasP","CLC",11.3040471745071,"MS4A3",7.6984637673384,"#7A378B"
"M4.23","MEP","PRSS57",5.83819538933848,"SOX4",5.79728258071351,"#DDA0DD"
"M5.11","masBasP","RNASE2",7.53222038275868,"PRSS57",7.25149704116503,"#7A378B"
"M6.03","masBasP","CXCL12",12.1076713771584,"APOE",10.5823288252685,"#7A378B"
"M7.37","monP1","CST3",9.87201675373226,"LYZ",8.71242277094965,"#6E8B3D"
"M8.41","plasma","IGKC",11.9412426585749,"MZB1",9.33106701679398,"#0000FF"
"M9.91","T","PPBP",12.8742490225369,"PF4",12.031001101356,"#FFFF00"
"M10.50","MK","PF4",10.5378205901284,"PPBP",10.4544824624756,"#FFC0CB"
"M11.63","MK","PPBP",8.24639620601679,"PF4",8.14638793358816,"#FFC0CB"
"M12.94","MK","PPBP",11.9509890448609,"PF4",11.9402835922376,"#FFC0CB"
"M13.02","MK","PDLIM1",6.43915342828071,"ITGA2B",6.21408643004693,"#FFC0CB"
"M14.48","doublets","LYZ",8.20431914941781,"CST3",7.85037758225521,"#000000"
"M15.13","MK","ITGA2B",6.54335853789151,"PDLIM1",6.43590887873952,"#FFC0CB"
"M16.84","MPP","SPP1",6.25107174218719,"CST3",5.87109259936726,"#838B8B"
"M17.13","T","IL7R",3.10495163252007,"CD8B",2.64849677577785,"#FFFF00"
"M18.12","T","TRBC2",3.19951454735007,"CD3D",2.87806637439282,"#FFFF00"
"M19.84","T","TRAC",4.38307246712553,"IL7R",3.35143101423707,"#FFFF00"
"M20.32","T","TRAC",3.74673372727745,"CD3D",3.6541658942149,"#FFFF00"
"M21.71","T","TRAC",4.6074897606565,"CD3D",3.84360848872774,"#FFFF00"
"M22.40","T","CD3G",4.64769524618656,"TRBC2",3.78192284746254,"#FFFF00"
"M23.41","T","TRBC2",3.94804192795039,"NOSIP",3.70466138742113,"#FFFF00"
"M24.87","T","CD8B",4.91968417135828,"CD3D",3.69239388923124,"#FFFF00"
"M25.51","T","TRBC2",4.01646012683399,"TRAC",3.87875214281514,"#FFFF00"
"M26.53","T","CDC42",2.58989543524206,"MAL",2.5059312369775,"#FFFF00"
"M27.25","T","CD3D",3.71112546264917,"IL32",2.87394427713368,"#FFFF00"
"M28.47","T","TRBC1",5.0010900367985,"IL7R",3.20016900539137,"#FFFF00"
"M29.05","T","TRAC",5.32711760148101,"TRBC1",5.19606485180712,"#FFFF00"
"M30.96","T","CD3D",3.14201021082837,"IL7R",2.97424116671551,"#FFFF00"
"M31.94","T","TRBC2",4.12189260684347,"IL7R",3.14547070819792,"#FFFF00"
"M32.63","T","NOSIP",3.77165952145371,"TRAC",3.63520176829307,"#FFFF00"
"M33.49","T","IL7R",3.36874841757607,"CD3D",3.25092378384438,"#FFFF00"
"M34.57","T","TRBC1",4.82690920155658,"CD3D",3.21583248876336,"#FFFF00"
"M35.00","T","CCR7",2.58903639931483,"LEPROTL1",2.34046883689446,"#FFFF00"
"M36.10","T","CD3D",3.90892916616832,"TRAC",3.70498974980042,"#FFFF00"
"M37.39","T","TRBC2",4.0313807045016,"CD3D",3.53060202223963,"#FFFF00"
"M38.11","T","TRBC2",4.10789456082296,"CD3D",3.70547617624452,"#FFFF00"
"M39.50","T","CD3D",3.74377844315455,"TRAC",3.59316654206418,"#FFFF00"
"M40.89","T","TRAC",4.0169928813175,"IL7R",3.56330897821851,"#FFFF00"
"M41.20","T","TRAC",4.36713891761539,"IL7R",3.43006511473023,"#FFFF00"
"M42.37","T","TRBC1",4.53432695340798,"CD3D",3.24590001646673,"#FFFF00"
"M43.78","T","TRAC",4.96118125783915,"CD3D",3.48415160162094,"#FFFF00"
"M44.67","T","TRBC2",3.9687318063545,"CD3D",3.38984728013964,"#FFFF00"
"M45.24","T","CD3D",3.85900073356273,"TRAC",3.30630810925211,"#FFFF00"
"M46.63","T","TRAC",3.8609177356077,"CD3D",3.6873747927216,"#FFFF00"
"M47.38","T","CD3D",2.84012850512859,"NOSIP",2.77922445158814,"#FFFF00"
"M48.77","T","CD3D",3.15193628948271,"IL7R",2.92014986921925,"#FFFF00"
"M49.13","T","TRAC",3.10026871338143,"CD3D",2.93101338271874,"#FFFF00"
"M50.73","T","HNRNPH1",3.72926760760864,"NOSIP",2.81572876953967,"#FFFF00"
"M51.71","T","TRAC",4.39865740416584,"TRBC2",4.10237641817646,"#FFFF00"
"M52.75","T","CD3D",3.03391313958458,"IL7R",2.99769365886282,"#FFFF00"
"M53.04","T","CD3D",3.33969696111286,"IL7R",2.68838456109417,"#FFFF00"
"M54.94","T","TRBC1",4.76800015869466,"CD3D",3.46656889608337,"#FFFF00"
"M55.03","T","ITM2A",4.03095265684461,"TRAC",3.8641552418359,"#FFFF00"
"M56.41","T","CD3D",4.00491762841564,"TRAC",3.22536773856618,"#FFFF00"
"M57.32","T","TRAC",4.84250388703043,"IL7R",3.50184886448783,"#FFFF00"
"M58.03","T","TRBC2",3.62094791054119,"CD3D",3.58419022687197,"#FFFF00"
"M59.19","T","TRAC",4.97506397458571,"TRBC1",4.10661197574323,"#FFFF00"
"M60.32","T","TRAC",4.02404273307871,"TRBC2",4.00994397989493,"#FFFF00"
"M61.02","T","TRAC",3.80802290532708,"CD3D",3.61454982600348,"#FFFF00"
"M62.46","T","IL32",3.10070707670264,"CD3D",3.0794401599324,"#FFFF00"
"M63.54","T","CD3D",3.4013876372873,"IL7R",3.23264506833681,"#FFFF00"
"M64.46","T","TRAC",3.20444291818549,"CD3D",3.19084042019139,"#FFFF00"
"M65.08","T","IL7R",3.51977053359089,"CD3D",2.9853124980044,"#FFFF00"
"M66.69","T","CD3D",3.83101400593021,"TRAC",3.67588378942861,"#FFFF00"
"M67.35","T","TRBC1",5.00972878292504,"TRAC",3.86652616407791,"#FFFF00"
"M68.11","T","CD3D",3.59073264202035,"LEF1",2.19906680891706,"#FFFF00"
"M69.25","T","TRAC",5.22726394299018,"NOSIP",3.89741234457331,"#FFFF00"
"M70.38","T","TRAC",4.38280824086776,"CD3D",3.69702102932944,"#FFFF00"
"M71.29","T","TRBC2",3.55554107817713,"CD3D",3.52093660096777,"#FFFF00"
"M72.92","T","TRBC1",3.79302861199001,"CD3D",3.53315251922608,"#FFFF00"
"M73.88","T","MAL",3.09891601148495,"CD3D",3.02246758042758,"#FFFF00"
"M74.63","T","CD3D",3.19503262022252,"NOSIP",2.50375575592767,"#FFFF00"
"M75.29","T","TRBC1",4.84115175017103,"TRAC",4.54497497507094,"#FFFF00"
"M76.00","T","TRAC",4.13216992505281,"CD3D",3.58920180711408,"#FFFF00"
"M77.56","T","TRBC1",4.9142228566617,"NOSIP",3.47169311620656,"#FFFF00"
"M78.93","T","IL7R",3.25843274525026,"CD3D",2.62776985570177,"#FFFF00"
"M79.17","T","TRBC1",3.64999749683319,"CD3D",3.41909916349811,"#FFFF00"
"M80.40","T","TRAC",3.830551241574,"CD3D",3.29353699323657,"#FFFF00"
"M81.49","T","TRBC2",3.26905079301163,"CD3D",3.06658551919454,"#FFFF00"
"M82.35","T","TRAC",3.99153803337022,"CD3D",3.58531105616466,"#FFFF00"
"M83.34","T","TRAC",4.87050621561066,"CD3D",3.92001216705657,"#FFFF00"
"M84.30","T","NOSIP",3.033346545625,"IL7R",2.8888826072011,"#FFFF00"
"M85.33","T","CD3D",3.25507812439699,"MAL",3.11225391974681,"#FFFF00"
"M86.10","T","CD3D",3.64660338974433,"IL32",3.19309537122735,"#FFFF00"
"M87.10","T","NOSIP",4.20461594049955,"TRAC",3.86835171039429,"#FFFF00"
"M88.28","T","CD3D",3.46041727971459,"IL32",3.45416607853096,"#FFFF00"
"M89.75","T","IL32",3.47560878979956,"MAL",3.40778336751776,"#FFFF00"
"M90.73","T","CD3D",3.05781337488407,"IL7R",2.98157820292205,"#FFFF00"
"M91.79","T","CD3D",2.90140701020837,"NFKBIA",2.7516358182447,"#FFFF00"
"M92.32","T","CD3D",3.6446213517815,"CD3G",2.94344232612444,"#FFFF00"
"M93.23","T","NOSIP",3.95602633525945,"CD3D",3.36153563188635,"#FFFF00"
"M94.93","T","CD3D",3.31478688170639,"TRAC",3.16580426691738,"#FFFF00"
"M95.87","T","TRAC",4.40257361174515,"IL7R",3.94603476066957,"#FFFF00"
"M96.09","T","TRBC2",3.40517510229442,"IL7R",2.82357284775,"#FFFF00"
"M97.55","T","TRAC",3.82008524298913,"CD3D",3.38062057688706,"#FFFF00"
"M98.43","T","CD3D",3.57945661793336,"IL7R",2.96359198801125,"#FFFF00"
"M99.34","T","TRBC1",3.79161134210959,"CD3D",3.72491424148695,"#FFFF00"
"M100.63","T","CD3D",3.5186594304735,"IL7R",2.76397469732133,"#FFFF00"
"M101.80","T","CD3D",3.0590435074879,"IL7R",2.51667151955256,"#FFFF00"
"M102.73","T","TRBC2",3.8927568757904,"IL7R",3.26989933279539,"#FFFF00"
"M103.20","T","IL7R",3.31745203090011,"TRAC",3.25786427547883,"#FFFF00"
"M104.24","T","IL7R",3.2611930386161,"MAL",2.96858097094661,"#FFFF00"
"M105.55","T","TRAC",4.55773031841147,"NOSIP",3.71057438296471,"#FFFF00"
"M106.64","T","IL7R",2.99384417991955,"MAL",2.72646562047337,"#FFFF00"
"M107.42","T","TRAC",4.38205094676165,"CD3D",3.98014969542763,"#FFFF00"
"M108.26","T","HNRNPH1",3.8554687412314,"CD3G",3.80397777636556,"#FFFF00"
"M109.75","T","CD3D",3.29498458016493,"MAL",2.20993489254762,"#FFFF00"
"M110.03","T","TRBC1",5.11768191965357,"TRAC",5.07451037374591,"#FFFF00"
"M111.42","T","KLRB1",5.76677398068638,"CD3D",4.19961403826987,"#FFFF00"
"M112.70","T","TRAC",4.83662785295657,"TRBC1",4.34220349899091,"#FFFF00"
"M113.94","T","CD8B",5.03806817218874,"CD3D",3.16380686423793,"#FFFF00"
"M114.79","T","CD3D",3.70851009448338,"NOSIP",3.56807676914853,"#FFFF00"
"M115.39","T","CD3D",3.67210136533513,"TRAC",3.5229337170563,"#FFFF00"
"M116.44","T","TRAC",4.28800622301564,"CD3G",3.240486545365,"#FFFF00"
"M117.06","GMP","S100A9",10.9707088509263,"S100A8",10.6080840162881,"#B4EEB4"
