"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M0.32","plasma","IGKC",13.4375730334583,"MZB1",7.95551953707358,"#0000FF"
"M1.66","MEP","RP11-620J15.3",5.83750324011656,"PRSS57",5.81722979102858,"#DDA0DD"
"M2.52","MEP","SOX4",6.10900066522143,"RP11-620J15.3",5.82749186853844,"#DDA0DD"
"M3.87","masBasP","CLC",11.1373275789765,"MS4A3",7.53668882511,"#7A378B"
"M4.69","MEP","PRSS57",6.73455765859036,"STMN1",5.49652754370599,"#DDA0DD"
"M5.59","masBasP","TPSAB1",10.7532655257696,"TPSB2",10.5273912440805,"#7A378B"
"M6.03","masBasP","CXCL12",12.1117848688453,"APOE",10.5864339642128,"#7A378B"
"M7.37","monP1","CST3",9.88386247236981,"LYZ",8.71324517802159,"#6E8B3D"
"M8.41","plasma","IGKC",11.9153829687191,"MZB1",9.33373243557294,"#0000FF"
"M9.67","doublets","PPBP",12.889349327989,"PF4",11.9786012171709,"#000000"
"M10.61","MK","PF4",10.2421842009498,"PPBP",10.1480355699804,"#FFC0CB"
"M11.90","doublets","PPBP",8.169580030762,"PF4",8.154985732092,"#000000"
"M12.59","MK","PDLIM1",6.33864794670286,"PF4",6.11712332766102,"#FFC0CB"
"M13.16","MK","PDLIM1",6.52481870461113,"ITGA2B",6.51663759793133,"#FFC0CB"
"M14.16","MK","PPBP",12.0665890349866,"PF4",11.9955012908385,"#FFC0CB"
"M15.52","doublets","PF4",7.91589870412409,"PPBP",7.75342803220465,"#000000"
"M16.55","MPP","SPP1",6.74872926048366,"CST3",6.64026006480078,"#838B8B"
"M17.24","B","HLA-DRA",7.67976033164027,"TCL1A",7.58589654311692,"#ADD8E6"
"M18.90","B","CD79A",7.70005360037325,"HLA-DRA",7.53157169170685,"#ADD8E6"
"M19.48","B","CD79A",7.98003737414902,"TCL1A",7.82207706560628,"#ADD8E6"
"M20.09","B","HLA-DRA",7.73508615413428,"CD79A",7.62687139037854,"#ADD8E6"
"M21.77","B","CD79A",8.23072586160654,"TCL1A",8.00980290040928,"#ADD8E6"
"M22.40","B","HLA-DRA",7.92976712933431,"CD79A",7.91373179392805,"#ADD8E6"
"M23.37","B","CD79A",8.15584050824683,"TCL1A",7.87299066640407,"#ADD8E6"
"M24.25","B","HLA-DRA",7.68543761674812,"CD79A",7.6040252545446,"#ADD8E6"
"M25.27","B","CD79A",7.85943320981453,"TCL1A",7.80666819844244,"#ADD8E6"
"M26.98","B","TCL1A",7.89635316403039,"HLA-DRA",7.719859560747,"#ADD8E6"
"M27.16","B","CD79A",8.09257889790465,"HLA-DRA",7.79601482443276,"#ADD8E6"
"M28.31","B","CD79A",7.77796159409961,"HLA-DRA",7.1021018319954,"#ADD8E6"
"M29.53","B","CD79A",7.65350728649167,"HLA-DRA",7.6530179021818,"#ADD8E6"
"M30.32","B","CD79A",7.70276050190592,"HLA-DRA",7.58458002724704,"#ADD8E6"
"M31.23","B","CD79A",8.16321930942459,"HLA-DRA",7.83852544486019,"#ADD8E6"
"M32.14","B","CD79A",7.77649783329481,"HLA-DRA",7.74892354892638,"#ADD8E6"
"M33.43","B","CD79A",8.02995161496193,"TCL1A",7.77477350208512,"#ADD8E6"
"M34.67","B","CD79A",8.10748493469849,"HLA-DRA",7.61035659326371,"#ADD8E6"
"M35.33","B","CD79A",7.83868997487606,"HLA-DRA",7.72095250957012,"#ADD8E6"
"M36.42","B","CD79A",7.97228067845561,"HLA-DRA",7.79558596705167,"#ADD8E6"
"M37.44","B","TCL1A",7.87470136247916,"CD79A",7.74602731786522,"#ADD8E6"
"M38.39","B","HLA-DRA",7.39050196197339,"CD79B",6.4282488692734,"#ADD8E6"
"M39.39","B","HLA-DRA",7.58184699617811,"CD79A",7.47062372877099,"#ADD8E6"
"M40.20","B","HLA-DRA",7.69390528746728,"CD79A",7.19988470836094,"#ADD8E6"
"M41.37","B","HLA-DRA",7.90757692813794,"MS4A1",7.66722500870834,"#ADD8E6"
"M42.81","B","CD79A",7.81772102898623,"HLA-DRA",7.78813414445733,"#ADD8E6"
"M43.68","B","CD79A",7.8516858125404,"HLA-DRA",7.68464093767482,"#ADD8E6"
"M44.47","B","CD79A",7.94955997989702,"HLA-DRA",7.57101398299978,"#ADD8E6"
"M45.14","B","CD79A",7.87635410561125,"HLA-DRA",7.61974673948827,"#ADD8E6"
"M46.50","B","CD79A",7.57927186279548,"HLA-DRA",7.49822487989902,"#ADD8E6"
"M47.86","B","TCL1A",7.94904214780619,"CD79A",7.76929874354491,"#ADD8E6"
"M48.99","B","HLA-DRA",7.73311643753512,"CD79A",7.67222924912472,"#ADD8E6"
"M49.30","B","CD79A",8.02589542873076,"TCL1A",7.70331731203758,"#ADD8E6"
"M50.56","B","CD79A",8.22130654724769,"TCL1A",7.99739112898949,"#ADD8E6"
"M51.93","B","CD79A",7.94058206862898,"TCL1A",7.92571335660115,"#ADD8E6"
"M52.71","B","TCL1A",7.85610391102934,"HLA-DRA",7.83070167053934,"#ADD8E6"
"M53.07","B","HLA-DRA",7.70001009119468,"CD79A",7.623362735364,"#ADD8E6"
"M54.26","B","CD79A",7.85589166528336,"HLA-DRA",7.82311086895375,"#ADD8E6"
"M55.19","B","TCL1A",8.61493296383221,"CD79A",8.15060784007534,"#ADD8E6"
"M56.44","B","CD79A",8.11808108760923,"TCL1A",8.04434908234272,"#ADD8E6"
"M57.06","B","TCL1A",7.74123175411856,"HLA-DRA",7.62921677384699,"#ADD8E6"
"M58.33","B","CD79A",8.0950099953568,"TCL1A",7.87807153749296,"#ADD8E6"
"M59.44","B","CD79A",7.78373054444332,"HLA-DRA",7.66013759097433,"#ADD8E6"
"M60.39","B","CD79A",8.54220887546904,"HLA-DRA",7.85242982326519,"#ADD8E6"
"M61.25","B","HLA-DRA",7.69091136618623,"CD79A",7.59874773339266,"#ADD8E6"
"M62.44","B","HLA-DRA",7.43533405490383,"IGHD",6.39600425629413,"#ADD8E6"
"M63.12","B","CD79A",8.10132602290778,"TCL1A",7.93024931732043,"#ADD8E6"
"M64.24","B","CD79A",7.94176811490509,"TCL1A",7.75494532201241,"#ADD8E6"
"M65.82","B","HLA-DRA",7.82265399043341,"CD79A",7.49034019023857,"#ADD8E6"
"M66.95","B","CD79A",7.63593731136398,"HLA-DRA",7.59661993453383,"#ADD8E6"
"M67.86","B","CD79A",7.8819097028394,"HLA-DRA",7.7223188311422,"#ADD8E6"
"M68.87","B","CD79A",7.97006447655626,"HLA-DRA",7.69367075687043,"#ADD8E6"
"M69.19","B","CD79A",7.91018286239056,"HLA-DRA",7.85194129600713,"#ADD8E6"
"M70.41","B","HLA-DRA",7.71961285271147,"CD79A",7.66388154524899,"#ADD8E6"
"M71.05","B","HLA-DRA",7.48560014263095,"CD79A",7.43025069176282,"#ADD8E6"
"M72.82","B","CD79A",7.97323769395584,"HLA-DRA",7.82715664640322,"#ADD8E6"
"M73.71","B","CD79A",8.03559201824367,"HLA-DRA",7.71881667506744,"#ADD8E6"
"M74.62","B","CD79A",7.7047588085207,"HLA-DRA",7.45587087667983,"#ADD8E6"
"M75.54","B","CD79A",7.96173462788581,"HLA-DRA",7.68919116395116,"#ADD8E6"
"M76.42","B","CD79A",7.94948842996662,"HLA-DRA",7.76038334174291,"#ADD8E6"
"M77.38","B","TCL1A",8.90284754359229,"CD79B",8.71484405443371,"#ADD8E6"
"M78.26","B","HLA-DRA",7.82182791913192,"TCL1A",7.71521391528869,"#ADD8E6"
"M79.48","B","CD79A",8.11239375454323,"HLA-DRA",7.71506223855941,"#ADD8E6"
"M80.79","B","CD79A",8.08217313119211,"HLA-DRA",7.76585691682272,"#ADD8E6"
"M81.44","B","HLA-DRA",7.33999187167744,"CD79A",6.04341809265978,"#ADD8E6"
"M82.64","B","HLA-DRA",7.47686199312983,"MS4A1",7.01970149131635,"#ADD8E6"
"M83.69","B","TCL1A",7.9100411376953,"CD79A",7.79690928584572,"#ADD8E6"
"M84.62","B","CD79A",7.95712524286615,"HLA-DRA",7.74647538540245,"#ADD8E6"
"M85.94","B","CD79A",7.81644837207498,"HLA-DRA",7.75305346544117,"#ADD8E6"
"M86.63","B","CD79A",7.98085818761319,"TCL1A",7.87520546652954,"#ADD8E6"
"M87.18","B","HLA-DRA",7.94845972745824,"CD79A",7.89864026611028,"#ADD8E6"
"M88.91","B","TCL1A",7.89228694852539,"CD79A",7.83206667831536,"#ADD8E6"
"M89.68","B","CD79A",7.77069465512146,"HLA-DRA",7.72078043954416,"#ADD8E6"
"M90.57","B","HLA-DRA",7.72359457906432,"TCL1A",7.4155741524073,"#ADD8E6"
"M91.56","B","CD79A",7.6200445989655,"HLA-DRA",7.57287879093317,"#ADD8E6"
"M92.46","B","CD79A",7.82193040555496,"HLA-DRA",7.66287690888887,"#ADD8E6"
"M93.67","B","TCL1A",8.95429941812695,"CD79A",8.64619976766647,"#ADD8E6"
"M94.75","B","HLA-DRA",7.76058992828997,"CD79A",7.71499535426062,"#ADD8E6"
"M95.45","B","CD79A",8.14772835742377,"HLA-DRA",7.74733508600923,"#ADD8E6"
"M96.17","B","CD79A",7.76858861975302,"HLA-DRA",7.69033399432728,"#ADD8E6"
"M97.67","B","CD79A",7.84270454772273,"HLA-DRA",7.44411203161941,"#ADD8E6"
"M98.90","B","TCL1A",7.82521214792728,"HLA-DRA",7.67945605422316,"#ADD8E6"
"M99.13","B","CD79A",7.96760909216915,"HLA-DRA",7.74117907983093,"#ADD8E6"
"M100.74","B","CD79A",8.19863495939216,"HLA-DRA",7.80500314033738,"#ADD8E6"
"M101.72","B","HLA-DRA",7.57782131884473,"CD79A",7.47465919854616,"#ADD8E6"
"M102.71","B","CD79A",7.58684450030997,"HLA-DRA",7.50971759120764,"#ADD8E6"
"M103.76","B","CD79A",7.93361744252291,"HLA-DRA",7.4798940979369,"#ADD8E6"
"M104.29","B","HLA-DRA",7.55134866209013,"MEF2C",6.99739326077842,"#ADD8E6"
"M105.58","B","CD79A",7.96887790592563,"HLA-DRA",7.84865908860977,"#ADD8E6"
"M106.01","B","CD79A",7.76155064176587,"HLA-DRA",7.41955606708687,"#ADD8E6"
"M107.92","B","CD79A",7.75551458705395,"HLA-DRA",7.68220521689758,"#ADD8E6"
"M108.44","B","HLA-DRA",7.67720255772209,"CD79A",7.50779812769262,"#ADD8E6"
"M109.60","B","CD79A",8.17998680205979,"HLA-DRA",7.88029626341705,"#ADD8E6"
"M110.60","B","CD79A",8.07321339074305,"HLA-DRA",7.69991752394381,"#ADD8E6"
"M111.51","B","HLA-DRA",6.86318551867712,"CD79A",6.29498281172775,"#ADD8E6"
