"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M2003.69","T","IL7R",3.59284393445105,"CD3D",2.70379977974356,"#FFFF00"
"M2004.14","T","TRBC1",4.45584639616118,"TRAC",3.98207842681753,"#FFFF00"
"M2005.66","T","IL32",3.45682584919366,"CD3D",3.04734935375887,"#FFFF00"
"M2006.71","T","TRBC1",4.91482193584029,"CD3D",3.16846743825984,"#FFFF00"
"M2007.55","T","IL7R",3.84359406819839,"TRAC",3.54752958276454,"#FFFF00"
"M2008.01","T","CD3D",3.15879090868443,"LEF1",2.49124026616597,"#FFFF00"
"M2009.18","T","TRAC",4.42974264444759,"CD3D",3.52991960122025,"#FFFF00"
"M2010.45","T","TRBC1",4.60481406060516,"IL7R",4.13480509321127,"#FFFF00"
"M2011.41","T","IL32",3.63026954823777,"FOXP1",3.41292341764623,"#FFFF00"
"M2012.57","T","TRAC",4.23704126225962,"CD3D",3.5391246318284,"#FFFF00"
"M2013.89","T","IL7R",5.00181577321131,"NOSIP",3.75518827680684,"#FFFF00"
"M2014.95","T","TRAC",5.19706506285395,"CD3D",3.35825707414903,"#FFFF00"
"M2015.68","(Missing)","CD3D",3.50605979326815,"TRBC2",3.36373246778677,NA
"M2016.88","T","TRAC",4.01827207810459,"IL7R",3.74403458250242,"#FFFF00"
"M2017.88","T","CD8B",3.72510773722511,"CD3D",3.37965821817692,"#FFFF00"
"M2018.68","T","IL7R",3.36222079337693,"NFKBIA",3.217382868559,"#FFFF00"
"M2019.04","T","NOSIP",3.07729169399187,"CD3D",2.90074513087679,"#FFFF00"
"M2020.59","T","CD3D",3.36789282229488,"TRAC",3.01979895037079,"#FFFF00"
"M2021.54","T","CD8B",4.45351493955537,"CD3D",3.36059917807995,"#FFFF00"
"M2022.66","T","TRAC",3.53713160496475,"NOSIP",3.38523732869038,"#FFFF00"
"M2023.76","T","TRBC1",3.93148300374848,"IL7R",3.424378437856,"#FFFF00"
"M2024.87","T","CD3D",3.3264527961376,"IL7R",2.83154508515853,"#FFFF00"
